reviews,reviewers,date_reviews,rating,course_id
very helpful informative course to get CPI certificate,By Wei W,"Mar 23, 2020",5,google-cbrs-cpi-training
"Material covered well, and easy to use application.",By Hugh H,"Sep 01, 2019",5,google-cbrs-cpi-training
Was able to knock it out in a day very good info.,By Jesse E,"Sep 23, 2020",5,google-cbrs-cpi-training
easy to follow along with and understand,By Aaron M,"Oct 30, 2019",5,google-cbrs-cpi-training
online learning was great,By Hoang D,"Apr 03, 2020",5,google-cbrs-cpi-training
Very well explained.,By Century S,"Feb 25, 2020",5,google-cbrs-cpi-training
Excellent course!,By Dan S,"Feb 13, 2020",5,google-cbrs-cpi-training
Great course.,By Andrew J H,"Aug 30, 2020",5,google-cbrs-cpi-training
Great course ,By KARAN K S,"Aug 17, 2020",5,google-cbrs-cpi-training
Great course,By Landon S,"Feb 09, 2020",5,google-cbrs-cpi-training
Great course,By Mark B,"Dec 03, 2019",5,google-cbrs-cpi-training
Great Job!,By Brian M,"Jul 17, 2019",5,google-cbrs-cpi-training
WOOOO,By Del S,"Nov 14, 2019",5,google-cbrs-cpi-training
Great Job!,By Brian M,"Jul 17, 2019",5,google-cbrs-cpi-training
WOOOO,By Del S,"Nov 14, 2019",5,google-cbrs-cpi-training
Great Job!,By Brian M,"Jul 17, 2019",5,google-cbrs-cpi-training
WOOOO,By Del S,"Nov 14, 2019",5,google-cbrs-cpi-training
"This course is virtually worthless. I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades. The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence. The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material. This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch. This was wasted money and time. This attempt to capitalize on the Yale brand is pathetic.    ",By James R,"Apr 23, 2019",1,financial-markets-global
"This course was horrible! The Content was very disoriented and unclear. Videos were distorted, and jumping from one topic to another. There was no sense of continuity. One can not say this was a course from Yale...",By Sanam P,"Oct 22, 2017",1,financial-markets-global
Terrible lecturer. Maybe he should retire. He can't stay on point. Lectures are unwatchable - except for the beautiful auditorium stage.,By Brendan F,"Jan 29, 2019",1,financial-markets-global
This course was aweful! I feel like I didnt learn anything useful. The information is very superficial. The math that is applied at some points is not well explained. The overall course lacks structure and substance. The quizes were just terrible. Please dont waste your time with this.,By Eli,"Sep 18, 2017",1,financial-markets-global
"I was expecting more from the course. It is very unstrucuted and even misses a complete table of contents. Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides.However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words. Unfortunately, Prof. Shiller fails to give adequate and precise definitions most of the time. They could have been included in the slides to help the students to learn in a more strucured manner. Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course.I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course.",By Sebastian S,"Jan 05, 2020",1,financial-markets-global
"It was not very interesting. The course needs to be more self-explanatory, with real world examples, and not dull",By Aniket G,"May 19, 2019",1,financial-markets-global
very confusing and doesn't seem connected or flow,By Lena P,"Apr 14, 2020",1,financial-markets-global
This was a terrible course. ,By Rose-Emily C,"Oct 09, 2019",1,financial-markets-global
Poorly produced. ,By Tahseen S,"Mar 11, 2020",1,financial-markets-global
I find the professor is hard to understand because he is so slow in making a point.  I have listened to a few lectures and have given up.  I am going to look for another course.,By David S,"May 28, 2020",1,financial-markets-global
"Don't waste your time! It's unstructured pile of videos recorded from face-to-face teaching. No explanations, no order, no structure, nothing.",By Sergey F,"May 02, 2020",1,financial-markets-global
too short videos,By Sudiksha,"Sep 01, 2019",1,financial-markets-global
As it was highlighted as free course with certification for MOOC.I haven't received course completion certificate though my course has been fully completed. This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19..Such a cheating to all the candidate to enroll for any course.This is not acceptable at all.,By  K,"Apr 13, 2020",1,financial-markets-global
"Not at all legitimate course. The concepts and principles of the course, instructor are not clear. I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down. According to this very soon you will find yourself at the footpark. More over he's find out to be staying in the history all the time.",By Shivam S,"May 10, 2020",1,financial-markets-global
"Honestly, this course could have been a lot better but it was very vaguely put together. Definitely not an introductory course.The structure was pretty much all over the place.I later enrolled in for ISBs course on financial markets and it yielded way better results for me.STRUCTURE BAD. CONCEPTS RANDOM. TOPICS NOT ADDRESSED IN DETAIL.",By Abhishek V,"Jul 18, 2020",1,financial-markets-global
"waste of time, I could not understand properly the concepts, as he is not going straight to the point. so I unenrolled after watching few videos",By Sara G,"May 03, 2020",1,financial-markets-global
"the pace is extremely monotonous and it makes the course really mundane. i want to drop this one and take another one instead, but i just cant!",By Tanay T,"Apr 19, 2020",1,financial-markets-global
It was very useful course. This course is very time taking but the best and worth fullBut I'm not getting course certificate,By Haritha S,"Apr 18, 2020",1,financial-markets-global
very tough to understand ...use simple language to explain,By Dhanashree C W,"May 12, 2020",1,financial-markets-global
"I prefer a course that teaches the fundamentals of financial markets in an Objective manner.  Just watching the first few videos seems like you are pushing some type of personal ideology or agenda.  Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money.On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway.  For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on.  Essentially just numbers in a spreadsheet at that point.. but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends.Best regards.",By Albert B,"Sep 06, 2020",1,financial-markets-global
"I can't access the quiz 5 and beyond. I'd really like to continue, and to complete the quizzes. I'm finding it difficult to troubleshoot. It says that ""the session will be unlocked when the session begins"". When I click on the quiz it asks me to ""reset my deadlines"". (The deadline for the quiz is 7 Sep so I have time.) When I click on ""reset my deadlines"" the message is ""Something went wrong. Please try again."" That's been happening for over a week. I'm losing time. arrghghghgh . Any help would be greatly appreciated.Kerry McGovern",By Kerry M,"Aug 18, 2020",1,financial-markets-global
"This couse seems to completely deviate from the main topic. it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement. Instead of giving some stories of the Amercan area. I am deeply disappointed and it is not at all up to my expectation. The previous course that i did was remararkably informative and relevant.How to I unenroll without wasting my money! Please help.thank You!",By Rachna V S,"Jun 15, 2020",1,financial-markets-global
NOT INTERESTING.COURSE CONTENTS AND NAME OF THE COURSE ENTIRELY DIFFERENT. CONTENTS ARE TOO WIDE.,By Remya B,"Sep 04, 2020",1,financial-markets-global
Poorly structured and clearly not thought through or designed for the online format ,By Stephen,"Jul 17, 2020",1,financial-markets-global
The course is horrible. There are no proper explanations. Seriously horrible. ,By Rohit K,"Jun 27, 2020",1,financial-markets-global
"This course is virtually worthless. I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades. The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence. The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material. This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch. This was wasted money and time. This attempt to capitalize on the Yale brand is pathetic.    ",By James R,"Apr 23, 2019",1,financial-markets-global
"This course was horrible! The Content was very disoriented and unclear. Videos were distorted, and jumping from one topic to another. There was no sense of continuity. One can not say this was a course from Yale...",By Sanam P,"Oct 22, 2017",1,financial-markets-global
Terrible lecturer. Maybe he should retire. He can't stay on point. Lectures are unwatchable - except for the beautiful auditorium stage.,By Brendan F,"Jan 29, 2019",1,financial-markets-global
This course was aweful! I feel like I didnt learn anything useful. The information is very superficial. The math that is applied at some points is not well explained. The overall course lacks structure and substance. The quizes were just terrible. Please dont waste your time with this.,By Eli,"Sep 18, 2017",1,financial-markets-global
"I was expecting more from the course. It is very unstrucuted and even misses a complete table of contents. Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides.However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words. Unfortunately, Prof. Shiller fails to give adequate and precise definitions most of the time. They could have been included in the slides to help the students to learn in a more strucured manner. Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course.I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course.",By Sebastian S,"Jan 05, 2020",1,financial-markets-global
"It was not very interesting. The course needs to be more self-explanatory, with real world examples, and not dull",By Aniket G,"May 19, 2019",1,financial-markets-global
very confusing and doesn't seem connected or flow,By Lena P,"Apr 14, 2020",1,financial-markets-global
This was a terrible course. ,By Rose-Emily C,"Oct 09, 2019",1,financial-markets-global
Poorly produced. ,By Tahseen S,"Mar 11, 2020",1,financial-markets-global
I find the professor is hard to understand because he is so slow in making a point.  I have listened to a few lectures and have given up.  I am going to look for another course.,By David S,"May 28, 2020",1,financial-markets-global
"Don't waste your time! It's unstructured pile of videos recorded from face-to-face teaching. No explanations, no order, no structure, nothing.",By Sergey F,"May 02, 2020",1,financial-markets-global
too short videos,By Sudiksha,"Sep 01, 2019",1,financial-markets-global
As it was highlighted as free course with certification for MOOC.I haven't received course completion certificate though my course has been fully completed. This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19..Such a cheating to all the candidate to enroll for any course.This is not acceptable at all.,By  K,"Apr 13, 2020",1,financial-markets-global
"Not at all legitimate course. The concepts and principles of the course, instructor are not clear. I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down. According to this very soon you will find yourself at the footpark. More over he's find out to be staying in the history all the time.",By Shivam S,"May 10, 2020",1,financial-markets-global
"Honestly, this course could have been a lot better but it was very vaguely put together. Definitely not an introductory course.The structure was pretty much all over the place.I later enrolled in for ISBs course on financial markets and it yielded way better results for me.STRUCTURE BAD. CONCEPTS RANDOM. TOPICS NOT ADDRESSED IN DETAIL.",By Abhishek V,"Jul 18, 2020",1,financial-markets-global
"waste of time, I could not understand properly the concepts, as he is not going straight to the point. so I unenrolled after watching few videos",By Sara G,"May 03, 2020",1,financial-markets-global
"the pace is extremely monotonous and it makes the course really mundane. i want to drop this one and take another one instead, but i just cant!",By Tanay T,"Apr 19, 2020",1,financial-markets-global
It was very useful course. This course is very time taking but the best and worth fullBut I'm not getting course certificate,By Haritha S,"Apr 18, 2020",1,financial-markets-global
very tough to understand ...use simple language to explain,By Dhanashree C W,"May 12, 2020",1,financial-markets-global
"I prefer a course that teaches the fundamentals of financial markets in an Objective manner.  Just watching the first few videos seems like you are pushing some type of personal ideology or agenda.  Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money.On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway.  For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on.  Essentially just numbers in a spreadsheet at that point.. but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends.Best regards.",By Albert B,"Sep 06, 2020",1,financial-markets-global
"I can't access the quiz 5 and beyond. I'd really like to continue, and to complete the quizzes. I'm finding it difficult to troubleshoot. It says that ""the session will be unlocked when the session begins"". When I click on the quiz it asks me to ""reset my deadlines"". (The deadline for the quiz is 7 Sep so I have time.) When I click on ""reset my deadlines"" the message is ""Something went wrong. Please try again."" That's been happening for over a week. I'm losing time. arrghghghgh . Any help would be greatly appreciated.Kerry McGovern",By Kerry M,"Aug 18, 2020",1,financial-markets-global
"This couse seems to completely deviate from the main topic. it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement. Instead of giving some stories of the Amercan area. I am deeply disappointed and it is not at all up to my expectation. The previous course that i did was remararkably informative and relevant.How to I unenroll without wasting my money! Please help.thank You!",By Rachna V S,"Jun 15, 2020",1,financial-markets-global
NOT INTERESTING.COURSE CONTENTS AND NAME OF THE COURSE ENTIRELY DIFFERENT. CONTENTS ARE TOO WIDE.,By Remya B,"Sep 04, 2020",1,financial-markets-global
Poorly structured and clearly not thought through or designed for the online format ,By Stephen,"Jul 17, 2020",1,financial-markets-global
The course is horrible. There are no proper explanations. Seriously horrible. ,By Rohit K,"Jun 27, 2020",1,financial-markets-global
"This course is virtually worthless. I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades. The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence. The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material. This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch. This was wasted money and time. This attempt to capitalize on the Yale brand is pathetic.    ",By James R,"Apr 23, 2019",1,financial-markets-global
"This course was horrible! The Content was very disoriented and unclear. Videos were distorted, and jumping from one topic to another. There was no sense of continuity. One can not say this was a course from Yale...",By Sanam P,"Oct 22, 2017",1,financial-markets-global
Terrible lecturer. Maybe he should retire. He can't stay on point. Lectures are unwatchable - except for the beautiful auditorium stage.,By Brendan F,"Jan 29, 2019",1,financial-markets-global
This course was aweful! I feel like I didnt learn anything useful. The information is very superficial. The math that is applied at some points is not well explained. The overall course lacks structure and substance. The quizes were just terrible. Please dont waste your time with this.,By Eli,"Sep 18, 2017",1,financial-markets-global
"I was expecting more from the course. It is very unstrucuted and even misses a complete table of contents. Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides.However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words. Unfortunately, Prof. Shiller fails to give adequate and precise definitions most of the time. They could have been included in the slides to help the students to learn in a more strucured manner. Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course.I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course.",By Sebastian S,"Jan 05, 2020",1,financial-markets-global
"It was not very interesting. The course needs to be more self-explanatory, with real world examples, and not dull",By Aniket G,"May 19, 2019",1,financial-markets-global
very confusing and doesn't seem connected or flow,By Lena P,"Apr 14, 2020",1,financial-markets-global
This was a terrible course. ,By Rose-Emily C,"Oct 09, 2019",1,financial-markets-global
Poorly produced. ,By Tahseen S,"Mar 11, 2020",1,financial-markets-global
I find the professor is hard to understand because he is so slow in making a point.  I have listened to a few lectures and have given up.  I am going to look for another course.,By David S,"May 28, 2020",1,financial-markets-global
"Don't waste your time! It's unstructured pile of videos recorded from face-to-face teaching. No explanations, no order, no structure, nothing.",By Sergey F,"May 02, 2020",1,financial-markets-global
too short videos,By Sudiksha,"Sep 01, 2019",1,financial-markets-global
As it was highlighted as free course with certification for MOOC.I haven't received course completion certificate though my course has been fully completed. This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19..Such a cheating to all the candidate to enroll for any course.This is not acceptable at all.,By  K,"Apr 13, 2020",1,financial-markets-global
"Not at all legitimate course. The concepts and principles of the course, instructor are not clear. I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down. According to this very soon you will find yourself at the footpark. More over he's find out to be staying in the history all the time.",By Shivam S,"May 10, 2020",1,financial-markets-global
"Honestly, this course could have been a lot better but it was very vaguely put together. Definitely not an introductory course.The structure was pretty much all over the place.I later enrolled in for ISBs course on financial markets and it yielded way better results for me.STRUCTURE BAD. CONCEPTS RANDOM. TOPICS NOT ADDRESSED IN DETAIL.",By Abhishek V,"Jul 18, 2020",1,financial-markets-global
"waste of time, I could not understand properly the concepts, as he is not going straight to the point. so I unenrolled after watching few videos",By Sara G,"May 03, 2020",1,financial-markets-global
"the pace is extremely monotonous and it makes the course really mundane. i want to drop this one and take another one instead, but i just cant!",By Tanay T,"Apr 19, 2020",1,financial-markets-global
It was very useful course. This course is very time taking but the best and worth fullBut I'm not getting course certificate,By Haritha S,"Apr 18, 2020",1,financial-markets-global
very tough to understand ...use simple language to explain,By Dhanashree C W,"May 12, 2020",1,financial-markets-global
"I prefer a course that teaches the fundamentals of financial markets in an Objective manner.  Just watching the first few videos seems like you are pushing some type of personal ideology or agenda.  Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money.On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway.  For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on.  Essentially just numbers in a spreadsheet at that point.. but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends.Best regards.",By Albert B,"Sep 06, 2020",1,financial-markets-global
"I can't access the quiz 5 and beyond. I'd really like to continue, and to complete the quizzes. I'm finding it difficult to troubleshoot. It says that ""the session will be unlocked when the session begins"". When I click on the quiz it asks me to ""reset my deadlines"". (The deadline for the quiz is 7 Sep so I have time.) When I click on ""reset my deadlines"" the message is ""Something went wrong. Please try again."" That's been happening for over a week. I'm losing time. arrghghghgh . Any help would be greatly appreciated.Kerry McGovern",By Kerry M,"Aug 18, 2020",1,financial-markets-global
"This couse seems to completely deviate from the main topic. it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement. Instead of giving some stories of the Amercan area. I am deeply disappointed and it is not at all up to my expectation. The previous course that i did was remararkably informative and relevant.How to I unenroll without wasting my money! Please help.thank You!",By Rachna V S,"Jun 15, 2020",1,financial-markets-global
NOT INTERESTING.COURSE CONTENTS AND NAME OF THE COURSE ENTIRELY DIFFERENT. CONTENTS ARE TOO WIDE.,By Remya B,"Sep 04, 2020",1,financial-markets-global
Poorly structured and clearly not thought through or designed for the online format ,By Stephen,"Jul 17, 2020",1,financial-markets-global
